 AKT1, AKT2, Apoptosis, CDH1, CDH2, CellCycleArrest, CTNNB1, DKK1, EMT, ERK, GF, Invasion, Metastasis, Migration, miR34, miR200, miR203, NICD, p21, p53, p63, p73, SMAD, SNAI1, SNAI2, TGFbeta, TWIST1, VIM, ZEB1, ZEB2,DNAdamage,ECM
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
0,0,1,0,1,1,0,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,,
0,0,1,0,,1,0,1,0,1,1,1,,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,,
0,0,1,0,,1,0,1,0,1,1,1,,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,,
0,0,1,0,,1,0,,,1,0,0,,0,0,1,0,0,1,0,0,1,1,0,0,0,1,,1,0,,
0,0,1,0,,1,0,,,1,0,1,,0,0,1,0,0,1,0,0,0,0,0,0,0,1,,0,0,,
0,0,1,0,,1,0,,,1,0,1,,0,0,1,0,0,1,0,0,0,0,0,0,0,1,,1,0,,
0,0,1,0,,1,0,,,1,0,1,,0,0,1,0,0,1,0,0,0,0,0,0,0,1,,0,0,,
0,0,1,0,,1,0,,,1,,,,0,0,0,0,0,0,1,1,0,,1,1,,,,0,0,,
0,0,1,0,,1,0,,,1,,,,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,,
0,0,1,0,,1,0,,,1,,,,0,0,0,0,0,1,1,0,0,,0,0,,,,1,0,,
0,0,1,0,,1,0,,,1,,,,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,,
0,0,1,0,,1,0,,,1,,,,0,0,0,0,0,1,0,0,0,,0,0,,,,1,1,,
0,0,1,0,,1,0,,,1,,,,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,,
0,0,1,0,,1,0,,,1,,,,0,0,0,0,0,1,0,0,0,,0,0,,,,1,0,,
0,0,1,0,,1,0,,,1,,,,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,,
0,0,1,0,,1,0,,,0,,,,0,0,0,,0,0,1,0,0,,1,1,,,,1,1,,
0,0,1,0,,1,0,,,0,,,,0,0,0,,0,1,0,0,0,,0,0,,,,0,0,,
0,0,1,0,,1,0,,,0,,,,0,0,0,,0,1,1,0,0,,0,0,,,,1,0,,
0,0,1,0,,1,0,,,0,,,,0,0,0,,0,1,0,0,0,,0,0,,,,0,0,,
0,0,1,0,,1,0,,,0,,,,0,0,0,,0,1,0,0,0,,0,0,,,,1,1,,
0,0,1,0,,1,0,,,0,,,,0,0,0,,0,1,0,0,0,,0,0,,,,0,0,,
0,0,1,0,,1,0,,,0,,,,0,0,0,,0,1,0,0,0,,0,0,,,,1,0,,
0,0,1,0,,1,0,,,0,,,,0,0,0,,0,1,0,0,0,,0,0,,,,0,0,,
0,1,1,0,,1,0,,,0,,,,0,0,0,,0,1,1,0,0,,1,1,,,,1,1,,
0,0,1,0,,1,0,,,0,,,,0,0,0,,0,1,0,0,0,,0,0,,,,0,0,,
0,0,1,0,,1,0,,,0,,,,0,0,0,,0,1,1,0,0,,0,0,,,,1,0,,
0,0,1,0,,1,0,,,0,,,,0,0,0,,0,1,0,0,0,,0,0,,,,0,0,,
0,0,1,0,,1,0,,,0,,,,0,0,0,,0,1,0,0,0,,0,0,,,,1,1,,
0,0,1,0,,1,0,,,0,,,,0,0,0,,0,1,0,0,0,,0,0,,,,0,0,,
0,0,1,0,,1,0,,,0,,,,0,0,0,,0,1,0,0,0,,0,0,,,,1,0,,
0,0,1,0,,1,0,,,0,,,,0,0,0,,0,1,0,0,0,,0,0,,,,0,0,,
0,0,0,0,,0,0,,,,,,,0,0,0,,1,0,1,0,,,0,1,,,,1,1,,
0,0,0,0,,0,0,,,,,,,0,0,0,,0,0,0,0,,,0,0,,,,0,0,,
0,0,0,0,,0,0,,,,,,,0,0,0,,0,0,1,0,,,0,0,,,,1,0,,
0,0,0,0,,0,0,,,,,,,0,0,0,,0,0,0,0,,,0,0,,,,0,0,,
1,0,0,0,,0,0,,,,,,,0,0,0,,0,0,0,0,,,0,0,,,,1,1,,
0,0,0,0,,0,0,,,,,,,0,0,0,,0,0,0,0,,,0,0,,,,0,0,,
0,0,0,0,,0,0,,,,,,,0,0,0,,0,0,0,0,,,0,0,,,,1,0,,
0,0,0,0,,0,0,,,,,,,0,0,0,,0,0,0,0,,,0,0,,,,0,0,,
1,1,0,0,,0,0,,,,,,,0,0,0,,0,0,1,0,,,0,1,,,,1,1,,
0,0,0,0,,0,0,,,,,,,0,0,0,,0,0,0,0,,,0,0,,,,0,0,,
0,0,0,0,,0,0,,,,,,,0,0,0,,0,0,1,0,,,0,0,,,,1,0,,
0,0,0,0,,0,0,,,,,,,0,0,0,,0,0,0,0,,,0,0,,,,0,0,,
1,0,0,0,,0,0,,,,,,,0,0,0,,0,0,0,0,,,0,0,,,,1,1,,
0,0,0,0,,0,0,,,,,,,0,0,0,,0,0,0,0,,,0,0,,,,0,0,,
0,0,0,0,,0,0,,,,,,,0,0,0,,0,0,0,0,,,0,0,,,,1,0,,
0,0,0,0,,0,0,,,,,,,0,0,0,,0,0,0,0,,,0,0,,,,0,0,,
1,0,0,0,,0,0,,,,,,,0,0,0,,0,0,1,0,,,0,1,,,,1,1,,
0,0,0,0,,0,0,,,,,,,0,0,0,,0,0,0,0,,,0,0,,,,0,0,,
0,0,0,0,,0,0,,,,,,,0,0,0,,0,0,1,0,,,0,0,,,,1,0,,
0,0,0,0,,0,0,,,,,,,0,0,0,,0,0,0,0,,,0,0,,,,0,0,,
1,0,0,0,,0,0,,,,,,,0,0,0,,0,0,0,0,,,0,0,,,,1,1,,
0,0,0,0,,0,0,,,,,,,0,0,0,,0,0,0,0,,,0,0,,,,0,0,,
0,0,0,0,,0,0,,,,,,,0,0,0,,0,0,0,0,,,0,0,,,,1,0,,
0,0,0,0,,0,0,,,,,,,0,0,0,,0,0,0,0,,,0,0,,,,0,0,,
1,1,0,0,,0,0,,,,,,,0,0,0,,0,0,1,0,,,0,1,,,,1,1,,
0,0,0,0,,0,0,,,,,,,0,0,0,,0,0,0,0,,,0,0,,,,0,0,,
0,0,0,0,,0,0,,,,,,,0,0,0,,0,0,1,0,,,0,0,,,,1,0,,
0,0,0,0,,0,0,,,,,,,0,0,0,,0,0,0,0,,,0,0,,,,0,0,,
1,0,0,0,,0,0,,,,,,,0,0,0,,0,0,0,0,,,0,0,,,,1,1,,
0,0,0,0,,0,0,,,,,,,0,0,0,,0,0,0,0,,,0,0,,,,0,0,,
0,0,0,0,,0,0,,,,,,,0,0,0,,0,0,0,0,,,0,0,,,,1,0,,
0,0,0,0,,0,0,,,,,,,0,0,0,,0,0,0,0,,,0,0,,,,0,0,,
0,0,0,,,,0,,,,,,,0,0,0,,,1,0,,,,,,,,,,,,
0,0,0,,,,0,,,,,,,0,1,0,,,1,0,,,,,,,,,,,,
0,0,0,,,,0,,,,,,,0,0,0,,,1,0,,,,,,,,,,,,
0,0,0,,,,0,,,,,,,0,0,0,,,1,0,,,,,,,,,,,,
0,0,0,,,,0,,,,,,,0,1,0,,,1,0,,,,,,,,,,,,
0,0,0,,,,0,,,,,,,0,1,0,,,1,0,,,,,,,,,,,,
0,0,0,,,,0,,,,,,,0,0,0,,,1,0,,,,,,,,,,,,
0,0,0,,,,0,,,,,,,0,0,0,,,1,0,,,,,,,,,,,,
0,1,0,,,,0,,,,,,,0,0,0,,,1,0,,,,,,,,,,,,
0,0,0,,,,0,,,,,,,0,0,0,,,1,0,,,,,,,,,,,,
0,0,0,,,,0,,,,,,,0,0,0,,,1,0,,,,,,,,,,,,
0,0,0,,,,0,,,,,,,0,0,0,,,1,0,,,,,,,,,,,,
0,0,0,,,,0,,,,,,,0,0,0,,,1,0,,,,,,,,,,,,
0,0,0,,,,0,,,,,,,0,0,0,,,1,0,,,,,,,,,,,,
0,0,0,,,,0,,,,,,,0,0,0,,,1,0,,,,,,,,,,,,
0,0,0,,,,0,,,,,,,0,0,0,,,1,0,,,,,,,,,,,,
0,0,0,,,,0,,,,,,,0,0,0,,,1,0,,,,,,,,,,,,
0,0,0,,,,0,,,,,,,0,0,0,,,1,0,,,,,,,,,,,,
0,0,0,,,,0,,,,,,,0,0,0,,,1,0,,,,,,,,,,,,
0,0,0,,,,0,,,,,,,0,0,0,,,1,0,,,,,,,,,,,,
0,0,0,,,,0,,,,,,,0,0,0,,,1,0,,,,,,,,,,,,
0,0,0,,,,0,,,,,,,0,0,0,,,1,0,,,,,,,,,,,,
0,0,0,,,,0,,,,,,,0,0,0,,,1,0,,,,,,,,,,,,
0,0,0,,,,0,,,,,,,0,0,0,,,1,0,,,,,,,,,,,,
0,1,0,,,,0,,,,,,,0,0,0,,,1,0,,,,,,,,,,,,
0,0,0,,,,0,,,,,,,0,0,0,,,1,0,,,,,,,,,,,,
0,0,0,,,,0,,,,,,,0,0,0,,,1,0,,,,,,,,,,,,
0,0,0,,,,0,,,,,,,0,0,0,,,1,0,,,,,,,,,,,,
0,0,0,,,,0,,,,,,,0,0,0,,,1,0,,,,,,,,,,,,
0,0,0,,,,0,,,,,,,0,0,0,,,1,0,,,,,,,,,,,,
0,0,0,,,,0,,,,,,,0,0,0,,,1,0,,,,,,,,,,,,
0,0,0,,,,0,,,,,,,0,0,0,,,1,0,,,,,,,,,,,,
1,0,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,0,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,0,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,0,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
1,0,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,0,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,0,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,0,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
1,1,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,0,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,0,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,0,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
1,0,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,0,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,0,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,0,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
1,0,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,0,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,0,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,0,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
1,0,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,0,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,0,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,0,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
1,1,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,0,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,0,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,0,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
1,0,0,,,,0,,,,,,,1,0,0,,,0,0,,,,,,,,,,,,
0,0,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,0,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,0,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
0,,0,,,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,
